N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+1843,-0.02454898,2,-0.02454898,-76.19201508,6.925387e-06,29.4190,27.7620,27.762
2mer-0+1955,-0.05201286,2,-0.05201286,-76.24402794,6.925230e-06,30.5190,27.7620,27.762
2mer-0+2242,-0.02028716,1,-0.01014358,-76.25417152,6.924321e-06,30.0690,27.7640,27.764
2mer-0+1743,0.04655985,2,0.04655985,-76.20761167,6.909377e-06,28.0220,27.7840,27.784
2mer-0+1683,0.03401048,2,0.03401048,-76.17360119,6.902322e-06,30.2360,27.7930,27.793
2mer-0+1759,-0.03347182,1,-0.01673591,-76.19033710,6.891074e-06,30.4970,27.8080,27.808
2mer-0+1764,0.03563095,2,0.03563095,-76.15470615,6.885005e-06,29.4940,27.8160,27.816
2mer-0+2194,-0.01335731,1,-0.00667865,-76.16138480,6.880637e-06,29.0600,27.8220,27.822
2mer-0+2312,-0.01644711,1,-0.00822356,-76.16960836,6.878453e-06,30.2870,27.8250,27.825
2mer-0+2058,-0.06344717,2,-0.06344717,-76.23305553,6.876490e-06,30.7660,27.8280,27.828
2mer-0+2148,0.01600248,2,0.01600248,-76.21705305,6.871675e-06,29.5060,27.8340,27.834
2mer-0+2311,0.04009851,1,0.02004925,-76.19700380,6.867799e-06,30.7950,27.8400,27.840
2mer-0+1836,-0.05366886,2,-0.05366886,-76.25067266,6.857280e-06,30.4810,27.8540,27.854
2mer-0+2101,0.05832247,2,0.05832247,-76.19235019,6.852840e-06,31.3000,27.8600,27.860
2mer-0+1902,-0.06476766,2,-0.06476766,-76.25711785,6.851565e-06,30.7170,27.8620,27.862
2mer-0+1754,0.03425626,2,0.03425626,-76.22286158,6.844841e-06,29.5460,27.8710,27.871
2mer-0+2175,0.03456636,2,0.03456636,-76.18829522,6.835798e-06,29.6750,27.8830,27.883
2mer-0+1639,0.03168963,2,0.03168963,-76.15660559,6.829826e-06,28.8340,27.8910,27.891
2mer-0+1903,0.03931947,1,0.01965973,-76.13694586,6.827380e-06,29.6710,27.8940,27.894
2mer-0+2477,-0.03577680,1,-0.01788840,-76.15483426,6.816042e-06,30.5850,27.9100,27.910
2mer-0+1722,-0.02551356,2,-0.02551356,-76.18034782,6.812727e-06,29.9780,27.9140,27.914
2mer-0+2170,0.06246740,1,0.03123370,-76.14911412,6.807633e-06,30.0980,27.9210,27.921
2mer-0+1777,0.01419474,2,0.01419474,-76.13491938,6.802256e-06,30.2820,27.9290,27.929
2mer-0+1665,0.00608264,1,0.00304132,-76.13187806,6.800265e-06,29.2490,27.9310,27.931
2mer-0+2013,-0.06906600,2,-0.06906600,-76.20094406,6.799958e-06,30.9140,27.9320,27.932
2mer-0+1697,-0.02229737,2,-0.02229737,-76.22324143,6.799655e-06,29.4750,27.9320,27.932
2mer-0+2153,0.06969824,1,0.03484912,-76.18839231,6.799237e-06,30.1840,27.9330,27.933
2mer-0+1890,0.04509366,1,0.02254683,-76.16584548,6.798037e-06,29.7860,27.9340,27.934
2mer-0+1729,0.01124299,2,0.01124299,-76.15460248,6.796434e-06,30.4080,27.9370,27.937
2mer-0+2064,0.03278203,1,0.01639102,-76.13821147,6.788596e-06,29.6760,27.9470,27.947
2mer-0+2164,-0.01991533,1,-0.00995766,-76.14816913,6.771991e-06,28.9130,27.9700,27.970
2mer-0+2432,-0.02826357,1,-0.01413178,-76.16230092,6.770342e-06,30.2720,27.9720,27.972
2mer-0+1953,0.00573544,1,0.00286772,-76.15943320,6.761581e-06,30.2910,27.9850,27.985
2mer-0+1692,-0.00970451,2,-0.00970451,-76.16913771,6.728547e-06,29.7640,28.0300,28.030
2mer-0+1847,0.03174632,2,0.03174632,-76.13739139,6.727569e-06,29.6970,28.0320,28.032
2mer-0+1782,-0.02527609,2,-0.02527609,-76.16266747,6.724156e-06,30.2060,28.0360,28.036
2mer-0+1948,0.04131984,1,0.02065992,-76.14200755,6.717255e-06,31.2870,28.0460,28.046
2mer-0+1975,0.05084855,1,0.02542427,-76.11658328,6.713175e-06,30.0310,28.0520,28.052
2mer-0+1624,-0.02266180,1,-0.01133090,-76.12791418,6.705459e-06,29.3220,28.0620,28.062
2mer-0+1736,0.01291322,2,0.01291322,-76.11500096,6.701332e-06,29.5860,28.0680,28.068
2mer-0+1746,-0.01364744,2,-0.01364744,-76.12864840,6.681612e-06,30.1470,28.0960,28.096
2mer-0+2043,0.07686187,1,0.03843093,-76.09021747,6.680626e-06,30.3800,28.0970,28.097
2mer-0+1860,-0.03016136,1,-0.01508068,-76.10529815,6.678248e-06,30.6470,28.1000,28.100
2mer-0+1851,-0.03477196,1,-0.01738598,-76.12268413,6.677554e-06,28.9250,28.1010,28.101
2mer-0+2094,0.05663400,2,0.05663400,-76.06605013,6.674207e-06,31.5200,28.1060,28.106
2mer-0+2380,0.02270871,1,0.01135435,-76.05469578,6.667452e-06,30.6300,28.1160,28.116
2mer-0+1812,-0.00315665,2,-0.00315665,-76.05785243,6.646790e-06,29.8080,28.1450,28.145
2mer-0+1915,-0.02259802,1,-0.01129901,-76.06915144,6.642678e-06,28.9990,28.1510,28.151
2mer-0+1891,-0.02641182,1,-0.01320591,-76.08235735,6.640223e-06,28.8340,28.1540,28.154
2mer-0+2280,-0.02347105,1,-0.01173552,-76.09409287,6.631117e-06,30.2810,28.1670,28.167
2mer-0+1672,-0.00884412,2,-0.00884412,-76.10293699,6.626114e-06,29.6880,28.1740,28.174
2mer-0+1966,-0.02631827,2,-0.02631827,-76.12925526,6.622760e-06,30.4810,28.1790,28.179
2mer-0+1956,-0.04351278,1,-0.02175639,-76.15101165,6.618255e-06,28.7000,28.1850,28.185
2mer-0+1788,-0.02561663,2,-0.02561663,-76.17662828,6.612637e-06,30.3320,28.1930,28.193
2mer-0+1766,0.02335480,1,0.01167740,-76.16495088,6.611206e-06,29.7650,28.1950,28.195
2mer-0+2406,0.01509296,1,0.00754648,-76.15740439,6.608851e-06,30.4960,28.1980,28.198
2mer-0+2113,0.05373512,1,0.02686756,-76.13053683,6.603742e-06,31.7620,28.2060,28.206
2mer-0+1687,0.00934130,2,0.00934130,-76.12119553,6.603303e-06,29.9220,28.2060,28.206
2mer-0+2067,0.01344081,2,0.01344081,-76.10775472,6.594594e-06,30.6000,28.2190,28.219
2mer-0+2289,0.05720830,1,0.02860415,-76.07915057,6.574081e-06,31.8620,28.2480,28.248
2mer-0+1999,-0.03283279,1,-0.01641639,-76.09556697,6.559149e-06,29.2830,28.2700,28.270
2mer-0+1838,0.03606917,1,0.01803458,-76.07753238,6.550722e-06,30.0310,28.2820,28.282
2mer-0+1880,0.02134263,2,0.02134263,-76.05618975,6.544665e-06,29.3520,28.2900,28.290
2mer-0+2125,-0.03908337,1,-0.01954168,-76.07573144,6.539146e-06,29.7040,28.2980,28.298
2mer-0+1872,0.02768520,2,0.02768520,-76.04804624,6.532273e-06,29.4070,28.3080,28.308
2mer-0+1988,0.00358326,2,0.00358326,-76.04446298,6.527360e-06,30.4170,28.3150,28.315
2mer-0+2020,0.03011389,1,0.01505694,-76.02940604,6.526390e-06,29.9930,28.3170,28.317
2mer-0+2357,-0.00852475,1,-0.00426237,-76.03366841,6.520440e-06,30.0450,28.3250,28.325
2mer-0+2344,-0.02543434,2,-0.02543434,-76.05910275,6.517851e-06,30.3730,28.3290,28.329
2mer-0+1856,-0.02221115,2,-0.02221115,-76.08131390,6.509729e-06,30.5090,28.3410,28.341
2mer-0+2458,-0.01274241,1,-0.00637121,-76.08768511,6.504427e-06,30.9270,28.3490,28.349
2mer-0+1906,-0.02752274,2,-0.02752274,-76.11520784,6.504213e-06,30.5190,28.3490,28.349
2mer-0+1964,0.00916637,1,0.00458318,-76.11062466,6.503822e-06,30.7910,28.3490,28.349
2mer-0+1935,-0.02216642,2,-0.02216642,-76.13279108,6.499560e-06,30.4300,28.3560,28.356
2mer-0+1827,-0.03297219,1,-0.01648610,-76.14927718,6.498966e-06,31.0560,28.3570,28.357
2mer-0+1751,-0.03695834,1,-0.01847917,-76.16775635,6.496751e-06,30.6580,28.3600,28.360
2mer-0+1942,0.01904521,1,0.00952261,-76.15823374,6.495572e-06,31.0760,28.3610,28.361
2mer-0+1739,-0.03073639,1,-0.01536819,-76.17360194,6.492412e-06,30.1470,28.3660,28.366
2mer-0+2292,0.05049791,1,0.02524896,-76.14835298,6.488728e-06,30.4410,28.3710,28.371
2mer-0+2537,-0.01870888,1,-0.00935444,-76.15770742,6.483661e-06,30.9530,28.3790,28.379
2mer-0+2165,0.04525994,1,0.02262997,-76.13507745,6.478064e-06,30.3760,28.3870,28.387
2mer-0+1928,-0.01096428,1,-0.00548214,-76.14055959,6.474977e-06,31.4180,28.3920,28.392
2mer-0+1958,-0.03665810,2,-0.03665810,-76.17721770,6.471650e-06,30.7910,28.3960,28.396
2mer-0+2212,0.07074575,1,0.03537287,-76.14184482,6.465520e-06,30.6970,28.4050,28.405
2mer-0+2136,-0.03538493,2,-0.03538493,-76.17722975,6.457867e-06,30.8890,28.4170,28.417
2mer-0+2181,0.03927965,2,0.03927965,-76.13795010,6.456179e-06,29.5550,28.4190,28.419
2mer-0+2045,-0.04028059,2,-0.04028059,-76.17823069,6.453072e-06,31.0280,28.4240,28.424
2mer-0+2248,0.03354668,1,0.01677334,-76.16145735,6.447236e-06,30.2400,28.4320,28.432
2mer-0+1965,0.04633684,1,0.02316842,-76.13828893,6.445289e-06,30.3310,28.4350,28.435
2mer-0+2434,-0.03605640,1,-0.01802820,-76.15631713,6.434862e-06,30.1710,28.4500,28.450
2mer-0+1721,-0.03427262,1,-0.01713631,-76.17345344,6.434340e-06,29.6260,28.4510,28.451
2mer-0+1951,-0.04344198,2,-0.04344198,-76.21689542,6.427870e-06,29.6170,28.4610,28.461
2mer-0+1987,0.03605810,2,0.03605810,-76.18083733,6.419607e-06,30.6100,28.4730,28.473
2mer-0+1914,-0.01370846,1,-0.00685423,-76.18769156,6.417347e-06,31.5520,28.4760,28.476
2mer-0+1925,-0.02752953,2,-0.02752953,-76.21522109,6.398774e-06,31.1590,28.5040,28.504
2mer-0+1799,0.02415312,2,0.02415312,-76.19106797,6.398506e-06,31.1040,28.5040,28.504
2mer-0+1861,0.02188537,2,0.02188537,-76.16918260,6.384369e-06,29.9780,28.5250,28.525
2mer-0+2021,0.02654486,2,0.02654486,-76.14263773,6.376617e-06,30.3910,28.5370,28.537
2mer-0+1862,-0.02478857,2,-0.02478857,-76.16742630,6.371050e-06,30.6550,28.5450,28.545
2mer-0+2243,-0.06114988,2,-0.06114988,-76.22857618,6.366874e-06,31.5140,28.5510,28.551
2mer-0+1952,0.03672488,2,0.03672488,-76.19185130,6.347894e-06,30.4170,28.5800,28.580
2mer-0+2209,-0.04065685,1,-0.02032842,-76.21217972,6.345857e-06,29.2500,28.5830,28.583
2mer-0+2112,-0.01872627,2,-0.01872627,-76.23090600,6.344127e-06,30.4550,28.5850,28.585
2mer-0+2046,0.06397475,1,0.03198737,-76.19891862,6.342422e-06,30.7300,28.5880,28.588
2mer-0+1922,-0.00120420,1,-0.00060210,-76.19952072,6.335173e-06,31.6550,28.5990,28.599
2mer-0+2042,0.02493601,2,0.02493601,-76.17458471,6.331928e-06,29.7280,28.6040,28.604
2mer-0+1910,0.01544173,2,0.01544173,-76.15914299,6.325135e-06,30.8570,28.6140,28.614
2mer-0+1929,0.04401454,2,0.04401454,-76.11512845,6.319092e-06,29.4540,28.6230,28.623
2mer-0+1818,0.01010929,2,0.01010929,-76.10501916,6.314828e-06,31.1030,28.6300,28.630
2mer-0+1811,-0.02519774,1,-0.01259887,-76.11761803,6.312903e-06,29.3250,28.6320,28.632
2mer-0+1753,0.02811737,2,0.02811737,-76.08950066,6.299403e-06,30.2020,28.6530,28.653
2mer-0+1853,-0.02407471,2,-0.02407471,-76.11357537,6.298360e-06,29.9610,28.6540,28.654
2mer-0+1932,-0.02549224,2,-0.02549224,-76.13906761,6.297160e-06,31.4050,28.6560,28.656
2mer-0+2089,-0.01408465,2,-0.01408465,-76.15315226,6.282218e-06,30.7170,28.6790,28.679
2mer-0+1901,0.01520329,2,0.01520329,-76.13794897,6.271262e-06,30.6490,28.6960,28.696
2mer-0+2223,0.05002488,2,0.05002488,-76.08792409,6.270218e-06,32.0480,28.6970,28.697
2mer-0+2499,0.04587725,1,0.02293863,-76.06498547,6.259616e-06,31.9640,28.7130,28.713
2mer-0+2091,-0.01725602,2,-0.01725602,-76.08224149,6.258746e-06,30.8860,28.7150,28.715
2mer-0+1869,-0.02324721,2,-0.02324721,-76.10548870,6.257473e-06,30.8800,28.7170,28.717
2mer-0+1835,0.00214508,2,0.00214508,-76.10334362,6.253810e-06,30.2180,28.7220,28.722
2mer-0+1972,-0.01961122,2,-0.01961122,-76.12295484,6.249743e-06,30.6270,28.7290,28.729
2mer-0+2638,0.02330696,2,0.02330696,-76.09964787,6.247009e-06,31.4200,28.7330,28.733
2mer-0+1888,0.02837166,2,0.02837166,-76.07127622,6.245172e-06,30.3630,28.7360,28.736
2mer-0+1826,-0.01117364,2,-0.01117364,-76.08244986,6.239466e-06,30.6490,28.7440,28.744
2mer-0+1917,0.02282156,2,0.02282156,-76.05962830,6.236654e-06,31.4630,28.7490,28.749
2mer-0+1950,0.02484147,2,0.02484147,-76.03478683,6.236517e-06,29.6640,28.7490,28.749
2mer-0+1954,0.00485725,2,0.00485725,-76.02992958,6.233216e-06,31.0950,28.7540,28.754
2mer-0+2037,-0.00840045,1,-0.00420023,-76.03412980,6.228116e-06,31.6970,28.7620,28.762
2mer-0+1976,-0.02985755,2,-0.02985755,-76.06398735,6.205397e-06,31.0280,28.7970,28.797
2mer-0+2016,-0.02869993,2,-0.02869993,-76.09268728,6.200113e-06,31.3290,28.8050,28.805
2mer-0+1798,-0.03510993,1,-0.01755497,-76.11024225,6.198082e-06,30.5560,28.8080,28.808
2mer-0+1945,-0.02938900,2,-0.02938900,-76.13963125,6.196985e-06,31.0400,28.8100,28.810
2mer-0+2388,0.03512277,2,0.03512277,-76.10450848,6.196327e-06,30.1490,28.8110,28.811
2mer-0+2274,0.00328723,1,0.00164362,-76.10286487,6.193064e-06,30.2480,28.8160,28.816
2mer-0+2054,-0.01482348,2,-0.01482348,-76.11768835,6.192504e-06,30.7660,28.8170,28.817
2mer-0+2707,-0.02387720,1,-0.01193860,-76.12962695,6.179170e-06,31.6360,28.8380,28.838
2mer-0+2249,-0.06183197,2,-0.06183197,-76.19145892,6.178443e-06,31.6650,28.8390,28.839
2mer-0+2062,-0.01722726,2,-0.01722726,-76.20868618,6.178351e-06,30.7020,28.8390,28.839
2mer-0+2109,0.04112954,2,0.04112954,-76.16755664,6.169553e-06,29.8180,28.8520,28.852
2mer-0+2085,-0.03929030,2,-0.03929030,-76.20684694,6.169503e-06,29.8910,28.8530,28.853
2mer-0+2061,0.01867686,2,0.01867686,-76.18817008,6.166733e-06,30.6120,28.8570,28.857
2mer-0+2185,0.01896917,2,0.01896917,-76.16920091,6.160652e-06,30.3030,28.8660,28.866
2mer-0+2159,-0.02743227,1,-0.01371613,-76.18291705,6.157822e-06,29.8580,28.8710,28.871
2mer-0+2131,0.03826600,2,0.03826600,-76.14465104,6.156663e-06,30.3620,28.8730,28.873
2mer-0+2173,0.02618797,1,0.01309399,-76.13155706,6.154105e-06,31.7420,28.8770,28.877
2mer-0+2097,0.01884776,2,0.01884776,-76.11270930,6.148123e-06,30.2640,28.8860,28.886
2mer-0+1863,-0.01775706,2,-0.01775706,-76.13046635,6.145843e-06,30.6220,28.8900,28.890
2mer-0+1893,-0.01003098,2,-0.01003098,-76.14049734,6.140888e-06,31.3910,28.8970,28.897
2mer-0+2084,0.03071035,1,0.01535517,-76.12514217,6.135519e-06,31.9510,28.9060,28.906
2mer-0+2276,-0.00051946,1,-0.00025973,-76.12540190,6.133103e-06,30.9340,28.9100,28.910
2mer-0+2098,0.02640048,2,0.02640048,-76.09900142,6.128296e-06,30.5350,28.9170,28.917
2mer-0+2047,-0.02699119,1,-0.01349559,-76.11249701,6.121916e-06,31.3500,28.9270,28.927
2mer-0+2698,0.02450723,2,0.02450723,-76.08798978,6.117673e-06,31.4960,28.9340,28.934
2mer-0+2075,0.03004904,2,0.03004904,-76.05794074,6.107808e-06,29.6650,28.9490,28.949
2mer-0+1898,0.02991447,2,0.02991447,-76.02802626,6.100502e-06,31.3790,28.9610,28.961
2mer-0+2252,-0.06064927,2,-0.06064927,-76.08867553,6.098884e-06,31.7600,28.9630,28.963
2mer-0+2027,-0.01491690,2,-0.01491690,-76.10359243,6.098207e-06,30.4420,28.9650,28.965
2mer-0+2454,-0.02092992,2,-0.02092992,-76.12452235,6.090624e-06,31.0390,28.9770,28.977
2mer-0+2065,0.02478171,2,0.02478171,-76.09974064,6.078769e-06,30.6090,28.9950,28.995
2mer-0+1886,0.02914067,2,0.02914067,-76.07059997,6.070196e-06,31.4630,29.0090,29.009
2mer-0+2005,-0.01610117,1,-0.00805058,-76.07865056,6.068355e-06,32.0920,29.0120,29.012
2mer-0+1905,-0.02751351,1,-0.01375675,-76.09240731,6.066379e-06,31.7080,29.0150,29.015
2mer-0+2401,-0.02530532,1,-0.01265266,-76.10505997,6.066015e-06,30.9150,29.0160,29.016
2mer-0+2370,0.02785372,1,0.01392686,-76.09113311,6.061456e-06,31.9380,29.0230,29.023
2mer-0+2220,-0.00866993,2,-0.00866993,-76.09980304,6.055767e-06,30.9140,29.0320,29.032
2mer-0+1983,-0.02109033,1,-0.01054517,-76.11034820,6.044892e-06,29.8410,29.0490,29.049
2mer-0+2092,-0.03750633,1,-0.01875317,-76.12910137,6.043581e-06,30.2640,29.0520,29.052
2mer-0+2031,-0.01726217,2,-0.01726217,-76.14636354,6.018317e-06,31.2270,29.0920,29.092
2mer-0+2244,0.04776701,2,0.04776701,-76.09859654,6.016632e-06,32.4050,29.0950,29.095
2mer-0+2453,-0.01953420,2,-0.01953420,-76.11813073,6.015207e-06,31.1100,29.0970,29.097
2mer-0+1845,0.03144055,2,0.03144055,-76.08669019,6.014613e-06,30.9980,29.0980,29.098
2mer-0+1881,-0.03612297,1,-0.01806148,-76.10475167,6.010685e-06,30.7110,29.1040,29.104
2mer-0+1921,0.03251671,2,0.03251671,-76.07223496,6.008115e-06,31.7790,29.1090,29.109
2mer-0+2327,0.04815748,2,0.04815748,-76.02407748,6.000549e-06,32.4280,29.1210,29.121
2mer-0+2538,0.01029567,2,0.01029567,-76.01378181,5.999836e-06,31.3130,29.1220,29.122
2mer-0+2114,-0.01555114,2,-0.01555114,-76.02933295,5.996463e-06,30.2390,29.1270,29.127
2mer-0+2012,-0.02760630,2,-0.02760630,-76.05693926,5.989293e-06,31.4190,29.1390,29.139
2mer-0+2348,-0.05822318,2,-0.05822318,-76.11516243,5.975098e-06,31.9790,29.1620,29.162
2mer-0+2374,0.04944123,1,0.02472062,-76.09044182,5.974137e-06,32.7220,29.1640,29.164
2mer-0+1840,0.03217683,2,0.03217683,-76.05826499,5.973073e-06,30.1480,29.1650,29.165
2mer-0+1940,-0.01786696,1,-0.00893348,-76.06719847,5.966650e-06,30.2280,29.1760,29.176
2mer-0+1871,-0.02929356,2,-0.02929356,-76.09649203,5.963974e-06,30.9400,29.1800,29.180
2mer-0+2210,0.01958911,1,0.00979456,-76.08669748,5.963194e-06,30.7360,29.1820,29.182
2mer-0+2199,0.00950541,1,0.00475271,-76.08194477,5.961383e-06,30.6430,29.1840,29.184
2mer-0+2190,-0.02526459,1,-0.01263230,-76.09457707,5.954586e-06,30.7990,29.1960,29.196
2mer-0+2073,-0.01339338,2,-0.01339338,-76.10797045,5.949522e-06,30.2930,29.2040,29.204
2mer-0+2512,0.01141292,2,0.01141292,-76.09655753,5.947466e-06,31.2360,29.2070,29.207
2mer-0+1883,0.00323582,2,0.00323582,-76.09332172,5.944560e-06,31.0950,29.2120,29.212
2mer-0+2470,-0.01854088,2,-0.01854088,-76.11186259,5.943927e-06,31.2660,29.2130,29.213
2mer-0+1865,0.02173745,2,0.02173745,-76.09012514,5.940004e-06,31.3790,29.2190,29.219
2mer-0+2646,-0.02987076,1,-0.01493538,-76.10506052,5.933433e-06,31.5930,29.2300,29.230
