iteration,r2,mae,rmse,pol_0,thole_0,pol_1,thole_1,pol_2,thole_2,pol_3,thole_3,pol_4,thole_4
1,0.86970383681344,0.00017697978382599655,0.00018259394414249196,0.00506928,1.0,0.00117968,1.0,0.000765982,1.0,0.000336925,1.0,0.000336925,1.0
2,0.8697038161440176,0.0001769799632069169,0.0001825941378388689,0.00506929,1.0,0.00117968,1.0,0.000765982,1.0,0.000336925,1.0,0.000336925,1.0
3,0.8697038367273712,0.00017697978419849058,0.00018259394452690067,0.00506928,1.00000001,0.00117968,1.0,0.000765982,1.0,0.000336925,1.0,0.000336925,1.0
4,0.869703917590372,0.00017697987965687993,0.00018259404383630002,0.00506928,1.0,0.00117969,1.0,0.000765982,1.0,0.000336925,1.0,0.000336925,1.0
5,0.869703836937041,0.00017697978389938037,0.00018259394421663838,0.00506928,1.0,0.00117968,1.00000001,0.000765982,1.0,0.000336925,1.0,0.000336925,1.0
6,0.8697038302083526,0.0001769798676616411,0.000182594032459379,0.00506928,1.0,0.00117968,1.0,0.0007659920000000001,1.0,0.000336925,1.0,0.000336925,1.0
7,0.8697038369088972,0.00017697978405661584,0.00018259394437122441,0.00506928,1.0,0.00117968,1.0,0.000765982,1.00000001,0.000336925,1.0,0.000336925,1.0
8,0.8697038283683718,0.00017697991211988983,0.0001825940797573107,0.00506928,1.0,0.00117968,1.0,0.000765982,1.0,0.000336935,1.0,0.000336925,1.0
9,0.8697038370050059,0.00017697978381419485,0.00018259394413165802,0.00506928,1.0,0.00117968,1.0,0.000765982,1.0,0.000336925,1.00000001,0.000336925,1.0
10,0.8697038566944565,0.00017697991087968943,0.00018259407930905092,0.00506928,1.0,0.00117968,1.0,0.000765982,1.0,0.000336925,1.0,0.000336935,1.0
11,0.8697038368898518,0.00017697978381172095,0.00018259394413238983,0.00506928,1.0,0.00117968,1.0,0.000765982,1.0,0.000336925,1.0,0.000336925,1.00000001
23,0.8697038458108277,0.00017697965537979773,0.00018259380837308485,0.005069279981234682,0.9999999999681393,0.0011796800043669062,1.0000000000457543,0.0007659819971645095,1.0000000000353362,0.00033692499875278057,1.0000000000709133,0.00033692500124721947,1.0000000000282858
24,0.869703825209758,0.0001769798347647438,0.00018259400206831252,0.005069289981234682,0.9999999999681393,0.0011796800043669062,1.0000000000457543,0.0007659819971645095,1.0000000000353362,0.00033692499875278057,1.0000000000709133,0.00033692500124721947,1.0000000000282858
25,0.8697038458837985,0.00017697965591186788,0.00018259380890073317,0.005069279981234682,1.0000000099681392,0.0011796800043669062,1.0000000000457543,0.0007659819971645095,1.0000000000353362,0.00033692499875278057,1.0000000000709133,0.00033692500124721947,1.0000000000282858
26,0.8697039264485671,0.0001769797511279815,0.00018259390798691468,0.005069279981234682,0.9999999999681393,0.001179690004366906,1.0000000000457543,0.0007659819971645095,1.0000000000353362,0.00033692499875278057,1.0000000000709133,0.00033692500124721947,1.0000000000282858
27,0.8697038455254319,0.00017697965534045027,0.00018259380834880507,0.005069279981234682,0.9999999999681393,0.0011796800043669062,1.0000000100457542,0.0007659819971645095,1.0000000000353362,0.00033692499875278057,1.0000000000709133,0.00033692500124721947,1.0000000000282858
28,0.8697038388186109,0.00017697973930135377,0.00018259389677938937,0.005069279981234682,0.9999999999681393,0.0011796800043669062,1.0000000000457543,0.0007659919971645095,1.0000000000353362,0.00033692499875278057,1.0000000000709133,0.00033692500124721947,1.0000000000282858
29,0.8697038458555432,0.00017697965565645116,0.00018259380864571706,0.005069279981234682,0.9999999999681393,0.0011796800043669062,1.0000000000457543,0.0007659819971645095,1.0000000100353361,0.00033692499875278057,1.0000000000709133,0.00033692500124721947,1.0000000000282858
30,0.86970383681344,0.00017697978382599655,0.00018259394414249196,0.005069279981234682,0.9999999999681393,0.0011796800043669062,1.0000000000457543,0.0007659819971645095,1.0000000000353362,0.00033693499875278056,1.0000000000709133,0.00033692500124721947,1.0000000000282858
31,0.8697038457141293,0.0001769796554872825,0.00018259380848391734,0.005069279981234682,0.9999999999681393,0.0011796800043669062,1.0000000000457543,0.0007659819971645095,1.0000000000353362,0.00033692499875278057,1.0000000100709132,0.00033692500124721947,1.0000000000282858
32,0.869703865383113,0.00017697978248960958,0.00018259394359683824,0.005069279981234682,0.9999999999681393,0.0011796800043669062,1.0000000000457543,0.0007659819971645095,1.0000000000353362,0.00033692499875278057,1.0000000000709133,0.00033693500124721946,1.0000000000282858
33,0.8697038458364273,0.00017697965531883128,0.00018259380831067546,0.005069279981234682,0.9999999999681393,0.0011796800043669062,1.0000000000457543,0.0007659819971645095,1.0000000000353362,0.00033692499875278057,1.0000000000709133,0.00033692500124721947,1.0000000100282858
34,0.8832047413546907,0.00013703748488026656,0.0001436092569288429,0.002534639990617341,0.9956965590209378,0.001769520002183453,1.0061800509759558,0.00038299099858225474,1.0047728599318142,0.00016846249937639028,1.0095782938074898,0.0005053875006236098,1.0038205883275808
35,0.8832046939100189,0.00013703764310534966,0.00014360938879838148,0.002534649990617341,0.9956965590209378,0.001769520002183453,1.0061800509759558,0.00038299099858225474,1.0047728599318142,0.00016846249937639028,1.0095782938074898,0.0005053875006236098,1.0038205883275808
36,0.8832047412990922,0.0001370374846086856,0.0001436092566519796,0.002534639990617341,0.9956965690209378,0.001769520002183453,1.0061800509759558,0.00038299099858225474,1.0047728599318142,0.00016846249937639028,1.0095782938074898,0.0005053875006236098,1.0038205883275808
