distance,nmer_name,Uind_md,Udf,Unb,Ues,Uind_sapt,ind20_fit,dhf_fit,time_per_system
1.982,2mer-0+19,-3.356555906265114,3.7571594867722355,-22.467277806492756,-22.467277806492756,-13.13505946,-3.356555906265114,-0.4986320398336749,0.11833214872023638
1.997,2mer-0+18,-3.4563185643606005,3.8733560731986154,-19.85407408542305,-19.85407408542305,-12.64521394,-3.4563185643606005,-0.518134374932933,0.11833214872023638
2.756,2mer-0+1,-0.4626653712739924,0.4265508377407306,-3.873733983567481,-3.873733983567481,-0.94870448,-0.4626653712739924,-0.006280647698706583,0.11833214872023638
2.778,2mer-0+8,-0.798148906132883,0.5437316968619483,-2.3764475805296676,-2.3764475805296676,-1.55951472,-0.798148906132883,-0.015045630446329132,0.11833214872023638
2.794,2mer-0+7,-1.1795897305511407,1.3643980562919527,-7.134591672110368,-7.134591672110368,-2.69462965,-1.1795897305511407,-0.13659779767187202,0.11833214872023638
2.811,2mer-0+2,-0.20141737886698705,0.17133419813795334,0.5066136891807064,0.5066136891807064,-0.78332372,-0.20141737886698705,0.009027617615798214,0.11833214872023638
2.815,2mer-0+5,-0.16435502196212168,0.15989856180858214,-0.43587449380566423,-0.43587449380566423,-0.91553905,-0.16435502196212168,-0.004618091745714858,0.11833214872023638
2.898,2mer-0+4,-0.08937452946280189,0.05145242121561729,-0.45567478279160883,-0.45567478279160883,-0.42640289,-0.08937452946280189,0.004314627839235597,0.11833214872023638
2.975,2mer-0+3,-0.7286240750917236,0.49192630812802923,-1.7935779340335631,-1.7935779340335631,-1.45201772,-0.7286240750917236,-0.009175895265700952,0.11833214872023638
3.635,2mer-0+22,-0.37340838352630473,0.35166005966467273,-4.087324594261112,-4.087324594261112,-0.51244061,-0.37340838352630473,-0.02134729641110214,0.11833214872023638
4.052,2mer-0+6,-0.11268809773884661,0.11569399986470766,-1.471673951432288,-1.471673951432288,-0.15366792,-0.11268809773884661,-0.0006660533157538918,0.11833214872023638
4.072,2mer-0+31,-0.10456058369235731,0.07426470233580508,-0.12330729514457418,-0.12330729514457418,-0.12102502,-0.10456058369235731,-0.0005884290490950936,0.11833214872023638
4.253,2mer-0+14,-0.05596756310755483,0.054267521929421324,0.9952414690426492,0.9952414690426492,-0.07052554,-0.05596756310755483,0.001207614944789283,0.11833214872023638
4.99,2mer-0+13,-0.04811121810615959,0.0401909595115205,-1.4005763211314082,-1.4005763211314082,-0.06421786,-0.04811121810615959,-0.0013747255677438136,0.11833214872023638
4.991,2mer-0+11,-0.026044696279666216,0.018474650269635285,0.445202966083458,0.445202966083458,-0.02894457,-0.026044696279666216,-0.0001274956033372662,0.11833214872023638
5.012,2mer-0+16,-0.04763054291574778,0.04811010788739488,-1.0031666788816027,-1.0031666788816027,-0.05925739,-0.04763054291574778,-0.0007851033791185818,0.11833214872023638
5.034,2mer-0+29,-0.03378315064821339,0.032629945175681636,1.3472215618622916,1.3472215618622916,-0.03995259,-0.03378315064821339,0.0007421495724019785,0.11833214872023638
5.47,2mer-0+21,-0.010088933080331992,0.009865611697808894,-0.027270404254545105,-0.027270404254545105,-0.01056033,-0.010088933080331992,7.20519313685247e-05,0.11833214872023638
5.617,2mer-0+9,-0.01788549000042687,0.014840354758795842,-0.023764952483009805,-0.023764952483009805,-0.01985393,-0.01788549000042687,-6.509171939448326e-05,0.11833214872023638
5.641,2mer-0+51,-0.008991820884992044,0.008371148159742587,0.19628512872445072,0.19628512872445072,-0.00719016,-0.008991820884992044,4.963178312006956e-05,0.11833214872023638
5.667,2mer-0+27,-0.028707682689937876,0.02993570755619529,-0.651975140432544,-0.651975140432544,-0.03194285,-0.028707682689937876,-0.00024793618856127546,0.11833214872023638
5.867,2mer-0+12,-0.005184130210137834,0.0036012776864745182,0.05481382693812107,0.05481382693812107,-0.00467927,-0.005184130210137834,9.290020291616886e-05,0.11833214872023638
