distance,nmer_name,Uind_md,Udf,Unb,Uind_sapt,Uind_omm,Udf_omm,Unb_omm
1.805,2mer-0+1,-2.6737780689254723e+18,45762244815653.414,-2.673823831170288e+18,-32.32156036,-8.228501182544278,10.497495651245117,-55.14068603515625
2.309,2mer-0+8,-0.3063965012425378,0.3193431758220442,-0.37057997893792827,-0.75401458,-0.30647658043017145,0.3187212646007538,-0.3661003112792969
2.526,2mer-0+4,-0.8621151762297623,0.839556824052319,-0.01827629327444113,-1.62568459,-0.8624916270782705,0.8411099910736084,-0.01465606689453125
2.615,2mer-0+14,-1.4196796894411903,1.4413489716563808,-6.473034703595031,-3.22126989,-1.4200385397925857,1.4412087202072144,-6.480648040771484
2.859,2mer-0+2,-0.9733521436477466,1.0739715609007991,-9.617748772187214,-2.62556372,-0.9738563843711745,1.0733915567398071,-9.62098503112793
2.91,2mer-0+16,-0.8664754034188966,0.8541637676077022,-4.341852152501102,-1.48655642,-0.8657418021102785,0.8528599739074707,-4.338661193847656
3.005,2mer-0+3,-0.42617576859794565,0.4189323679692905,1.9162986135065696,-1.32510478,-0.4270028758837725,0.419084370136261,1.916764259338379
3.416,2mer-0+10,-1.3449754477249038,1.4776001993872878,-13.964254271828489,-2.43673156,-1.3466263498121407,1.4790585041046143,-13.978557586669922
3.683,2mer-0+5,-0.1848902297052297,0.1797879248735001,1.7351108982208685,-0.3040135,-0.18464468550519086,0.18013885617256165,1.7354393005371094
3.951,2mer-0+50,-0.020310523890233415,0.02057937083589273,-0.8823163795357338,-0.0164028,-0.020828246051678434,0.020085617899894714,-0.8827896118164062
4.855,2mer-0+19,-0.06884286843147977,0.06812631967982483,2.110234522643642,-0.08837782,-0.06853485200554132,0.06825888901948929,2.110812187194824
4.869,2mer-0+9,-0.07756047321180974,0.07616337343019472,1.9078815562066282,-0.10033792,-0.07754326187205152,0.07602529227733612,1.911285400390625
4.963,2mer-0+37,-0.019276435050901982,0.01904393336987825,0.1997852539260836,-0.02562615,-0.019349098096427042,0.019012093544006348,0.19947433471679688
5.173,2mer-0+6,-0.054670333203575484,0.053893874875777695,0.45667184651702564,-0.06591882,-0.05476951420860132,0.05373217537999153,0.45893096923828125
5.227,2mer-0+7,-0.05805742953245335,0.05875598707091013,-0.10833178517966578,-0.07529663,-0.058481215906795114,0.05846066027879715,-0.11146736145019531
5.475,2mer-0+38,-0.01739846166054896,0.01740525489393944,0.6236732906117698,-0.0209034,-0.017716408809064887,0.01709793508052826,0.6235513687133789
5.603,2mer-0+24,-0.12204864742731619,0.1201861505722734,0.3117867638949148,-0.14684488,-0.12168692706472939,0.12019103765487671,0.3050880432128906
5.626,2mer-0+34,-0.01726037491389268,0.017384593652333087,-1.068957411970216,-0.02189896,-0.017494201369117945,0.017163900658488274,-1.0704782009124756
5.834,2mer-0+13,-0.05099695702646139,0.05103150245055689,0.8462435650719612,-0.06741454,-0.05132198124556453,0.05095046013593674,0.8436679840087891
5.89,2mer-0+12,-0.017620413437302855,0.01774074112119903,-0.9427584158387528,-0.02165174,-0.017575742298504338,0.017682000994682312,-0.9432826042175293
6.11,2mer-0+33,-0.027747731928296833,0.02732858987608976,1.3636242079358631,-0.03417615,-0.027592421931331046,0.027493664994835854,1.363248348236084
6.178,2mer-0+70,-0.094047229308988,0.0914558001443734,3.3367306574459046,-0.1104991,-0.09458922936755698,0.09083984047174454,3.337278366088867
6.256,2mer-0+43,-0.027894081566684038,0.028385885474182422,-1.5261170862250015,-0.04029669,-0.028263567612157203,0.028100471943616867,-1.5274369716644287
6.409,2mer-0+23,-0.01233651294318165,0.012309951689706675,-0.5325839195854555,-0.01695129,-0.012254714536538813,0.012340002693235874,-0.5320353507995605
6.505,2mer-0+61,-0.0061494507845132095,0.00615632575599802,0.34454315774011607,-0.00627142,-0.00639486315776594,0.005903441458940506,0.34467315673828125
6.567,2mer-0+35,-0.021086272749503643,0.021269258445913423,-0.34675927290980524,-0.02352361,-0.02081012744747568,0.021277589723467827,-0.3457050323486328
6.61,2mer-0+25,-0.03874059997562025,0.039390491509133624,-2.3929886098176314,-0.04971157,-0.03939056396484375,0.0389399491250515,-2.392026901245117
6.887,2mer-0+74,-0.02509880321051522,0.024748750065695872,1.125458590156236,-0.02673515,-0.024757386421697447,0.02503303624689579,1.1235790252685547
6.901,2mer-0+27,-0.011962478169202847,0.012027780437067884,0.022046264457634582,-0.01398306,-0.012313842435105471,0.011820157058537006,0.02144145965576172
6.945,2mer-0+65,-0.046485897144690654,0.04575081505240489,1.221018129922695,-0.05508866,-0.04575347629725002,0.04605664312839508,1.2194271087646484
7.199,2mer-0+22,-0.014386639612208643,0.014527410615345645,-1.0815706610910494,-0.01716337,-0.013712882937397808,0.015262131579220295,-1.0822267532348633
7.452,2mer-0+29,-0.010949979842606917,0.010905389378486572,0.894731036343984,-0.01327734,-0.010694981450797059,0.011050124652683735,0.8959188461303711
7.647,2mer-0+36,-0.005060971687913692,0.005035639845990907,0.6261698355479832,-0.00616747,-0.004947185036144219,0.005067229736596346,0.6261246204376221
7.704,2mer-0+116,-0.012231639491183244,0.012123235158214767,0.42720720833820663,-0.01315743,-0.012868881487520412,0.011661391705274582,0.4272890090942383
7.796,2mer-0+73,-0.005731116541914757,0.005761110418157118,-0.9422333875296465,-0.0068469,-0.005439281419967301,0.00581145565956831,-0.9432203769683838
7.867,2mer-0+30,-0.009809492125067853,0.009729753428332794,0.8823828988170829,-0.01254602,-0.009882926802674774,0.009899597615003586,0.8829898834228516
7.977,2mer-0+32,-0.00801461616858628,0.007977977970722278,0.08869074466246607,-0.01046021,-0.008111477436614223,0.007852835580706596,0.08875370025634766
8.21,2mer-0+57,-0.011858296954165773,0.011958951064363272,-0.7077105662754729,-0.01442755,-0.011885643165442161,0.011993286199867725,-0.7064476013183594
8.303,2mer-0+28,-0.011370497479921537,0.011364101497899062,0.4517820750617222,-0.01283412,-0.011553763994015753,0.011443345807492733,0.44980335235595703
8.462,2mer-0+54,-0.005222455403452272,0.005258994090611994,-0.6842620038468564,-0.00604312,-0.005527496003196575,0.004850731231272221,-0.6843564510345459
8.541,2mer-0+39,-0.010167953892548669,0.010253205681652316,-0.6188126685557138,-0.01203759,-0.010265350400004536,0.010188339278101921,-0.6205482482910156
8.541,2mer-0+60,-0.007561842846914093,0.007612082921499331,-0.4989726373664825,-0.00896737,-0.0074930198170477524,0.007675664033740759,-0.4997415542602539
8.739,2mer-0+55,-0.0063599025737172705,0.006318775749854889,0.7403153423053095,-0.00789583,-0.0060863499966217205,0.006405291613191366,0.7395725250244141
8.767,2mer-0+62,-0.005339131160540726,0.005354967452508609,-0.6280968105528899,-0.00646298,-0.005586862807831494,0.005244429223239422,-0.6287727355957031
8.776,2mer-0+51,-0.0029318009806044553,0.002935888450010592,-0.3596535735642987,-0.00343557,-0.003551960049662739,0.0024351738393306732,-0.35964202880859375
8.843,2mer-0+45,-0.005915046072222977,0.005880219819392481,0.8942341975906605,-0.00727346,-0.006051063384802546,0.00567470770329237,0.8941307067871094
8.914,2mer-0+59,-0.005624610753249514,0.005636776350123764,-0.6517020880791163,-0.00691479,-0.005311965964210685,0.005856179166585207,-0.6526675224304199
8.929,2mer-0+96,-0.001861868769173026,0.0018707676982193115,-0.39139823037198407,-0.00191092,-0.0015187262688414194,0.002320663770660758,-0.39151716232299805
8.967,2mer-0+84,-0.0017156589692081169,0.0017127582918187673,0.3338963147834302,-0.00205473,-0.00104761119291652,0.0022320684511214495,0.3338296413421631
8.97,2mer-0+155,-0.0013724277311882086,0.0013756198796226777,-0.2805434984080105,-0.00124361,-0.0014402866945602,0.001357984496280551,-0.28073763847351074
9.051,2mer-0+99,-0.002623014144829917,0.0026098197588745806,0.4414483318420378,-0.00290243,-0.002735137750278227,0.00249249255284667,0.4412720203399658
9.093,2mer-0+85,-0.003019608513677905,0.0030191385257708355,-0.20625664815789224,-0.00313891,-0.002445221136440523,0.0035849320702254772,-0.207183837890625
9.143,2mer-0+88,-0.00792914458829495,0.007958684096285706,-0.759683286418989,-0.00947664,-0.008322715948452242,0.007363455835729837,-0.7600021362304688
9.268,2mer-0+68,-0.0058930416626802,0.005897763153582231,0.2833811377713229,-0.00666473,-0.005705357001716038,0.006110696122050285,0.28373003005981445
9.285,2mer-0+93,-0.00420621950912476,0.004188895204830071,0.07180085048861884,-0.00448911,-0.004210949166008504,0.004104139748960733,0.07132720947265625
9.289,2mer-0+40,-0.004484201945111333,0.004472206632010257,-0.0721989390143444,-0.00517714,-0.004651069619285408,0.004366938956081867,-0.07144832611083984
9.496,2mer-0+113,-0.003960856655809905,0.003950940960433966,-0.19250551805124963,-0.0048049,-0.0046381952706724405,0.0031936836894601583,-0.19298315048217773
9.563,2mer-0+136,-0.0012713363241690988,0.0012699490253882135,-0.12305279292692847,-0.00140433,-0.0016465187327412423,0.0007496941834688187,-0.1233835220336914
9.697,2mer-0+47,-0.0033498553488388047,0.0033618720540415864,-0.11023486308455832,-0.00386445,-0.0036964419268770143,0.002889656461775303,-0.11158275604248047
9.726,2mer-0+64,-0.004219727547810969,0.004243428152187872,-0.5030465352414908,-0.0049221,-0.004395485273562372,0.004046143498271704,-0.5026874542236328
9.738,2mer-0+104,-0.001262813611033877,0.0012662952234094216,-0.45591900014500414,-0.00158468,-0.001207351713674143,0.0011738198809325695,-0.45644688606262207
9.809,2mer-0+49,-0.0027631558971095097,0.0027527132251810834,0.2944381471207984,-0.00346431,-0.002841472698491998,0.002601966727524996,0.29464149475097656
9.845,2mer-0+53,-0.0023013259720606146,0.0023021022333561455,0.2957694063260528,-0.00285736,-0.002158880277420394,0.0025355126708745956,0.29552555084228516
9.862,2mer-0+78,-0.0026627674427441694,0.0026739234052129616,-0.18887165108917567,-0.00293452,-0.0028142926457803696,0.002524004550650716,-0.18857955932617188
9.936,2mer-0+71,-0.0017560474320377976,0.0017582949840091368,0.13824429424732448,-0.00210283,-0.001790285125025548,0.0018322709947824478,0.1381518840789795
10.009,2mer-0+137,-0.003918233559064406,0.0039054072397517077,0.03587758622159966,-0.0045299,-0.0037450790987350047,0.003941764123737812,0.035439491271972656
