keynmer,nambe,replicas,contrib,crystal_lattice_energy,priority_cutoff,min_separations
2mer-0+2,-8.226058639587128,1,-4.113029319793564,-4.113029319793564,0.007388314612800321, 1.805 
2mer-0+3,-0.30639650215825526,1,-0.15319825107912763,-4.266227570872692,0.0027582593143563234, 2.309 
2mer-0+6,-1.4196796927362494,1,-0.7098398463681247,-4.976067417240817,0.001675810694649665, 2.615 
2mer-0+4,-0.9733521372566746,2,-0.9733521372566746,-5.94941955449749,0.001173726853032711, 2.859 
2mer-0+1,-0.8664754022405902,1,-0.4332377011202951,-6.382657255617786,0.0010938178628205838, 2.910 
3mer-0+2+6,-1.2633864474098735,1,-0.42112881580329115,-6.803786071421078,5.682064441574699e-07, 1.805  2.526  2.615 
3mer-0+1+2,-1.9706922382264391,2,-1.313794825484293,-8.11758089690537,2.175836605866714e-07, 1.805  2.859  2.910 
3mer-0+1+3,0.42628534211293917,2,0.28419022807529276,-7.833390668830077,2.175836591606295e-07, 2.309  2.859  2.910 
3mer-0+2+3,1.2277341723020678,1,0.40924472410068924,-7.424145944729387,1.6271552703388681e-07, 1.805  2.309  3.005 
3mer-0+4+5,0.40610864085586684,1,0.1353695469519556,-7.288776397777433,1.6271552688503406e-07, 2.859  2.859  3.005 
3mer-0+3+6,0.41579039555188496,1,0.138596798517295,-7.150179599260138,5.1381810174166844e-08, 2.309  2.615  3.416 
3mer-0+2+4,-0.7050276788821304,1,-0.23500922629404347,-7.385188825554182,2.608868773121033e-08, 1.805  2.859  3.683 
3mer-0+3+5,-0.19455590285831795,1,-0.06485196761943932,-7.4500407931736214,2.60886877312103e-08, 2.309  2.859  3.683 
3mer-0+1+6,-0.08408417438625285,1,-0.02802805812875095,-7.478068851302371,2.1706609375213257e-09, 2.615  2.910  4.855 
3mer-0+5+6,-0.2749925493444026,1,-0.09166418311480087,-7.569733034417172,4.1537172425085175e-10, 2.615  2.859  5.834 
