distance,nmer_name,Uind_md,Uind_sapt
16.786,2mer-0+280,-0.00013601909646878476,-0.00018569
16.801,2mer-0+296,-0.0001161204117507984,-0.00015834
16.821,2mer-0+516,-0.00023335480460609664,-0.00021972
16.865,2mer-0+340,-0.00020209845587271282,-0.00019983
16.931,2mer-0+272,-0.00015090264138939885,-0.00014904
16.946,2mer-0+480,-0.0004368221081980966,-0.00042799
16.947,2mer-0+295,-0.0003791105480207714,-0.00043497
16.965,2mer-0+256,-0.00024640203805321797,-0.00024865
17.007,2mer-0+329,-0.0001847142047359019,-0.00021863
17.011,2mer-0+495,-8.762045008996673e-05,-6.149e-05
17.026,2mer-0+357,-8.948301474277056e-05,-0.00010262
17.048,2mer-0+321,-0.00022557662135057202,-0.00026387
17.093,2mer-0+335,-0.00017786459311546705,-0.00017048
17.101,2mer-0+307,-0.00024373567148960372,-0.00027879
17.147,2mer-0+250,-0.00018328230058173482,-0.00018334
17.157,2mer-0+282,-0.0002984639304739633,-0.00034256
17.218,2mer-0+334,-0.00017087749824297888,-0.00019236
17.255,2mer-0+449,-7.868248593987321e-05,-7.131e-05
17.26,2mer-0+305,-0.00016240726228683265,-0.0001984
17.364,2mer-0+390,-0.0001788396458226306,-0.00017476
17.384,2mer-0+332,-0.00035612279576662957,-0.00041004
17.407,2mer-0+255,-0.00013933697490079347,-0.00015338
17.408,2mer-0+370,-0.00010228537582818428,-9.34e-05
17.45,2mer-0+457,-0.00012513767021502144,-9.968e-05
17.477,2mer-0+498,-0.0002953012607013985,-0.00026916
17.479,2mer-0+472,-0.00011038136752906399,-8.995e-05
17.539,2mer-0+465,-0.0001460798428301849,-0.00016991
17.564,2mer-0+485,-0.00019233311385240698,-0.00019858
17.607,2mer-0+287,-0.0002898553105018706,-0.00034978
17.709,2mer-0+552,-7.174273396111993e-05,-4.412e-05
17.72,2mer-0+283,-0.00010613210751242266,-0.00012214
17.727,2mer-0+462,-0.0001905591697447098,-0.00019983
17.769,2mer-0+663,-0.00020693174058911877,-0.00018005
17.776,2mer-0+476,-9.21579621264987e-05,-0.00010431
17.789,2mer-0+506,-7.785044204916441e-05,-8.275e-05
17.814,2mer-0+502,-0.0003498135711161567,-0.00034257
17.817,2mer-0+402,-0.00017207404789921027,-0.0002112
17.907,2mer-0+363,-8.981406688311701e-05,-0.00011397
17.924,2mer-0+403,-0.00019339188032935998,-0.00019349
17.941,2mer-0+665,-7.391361615962229e-05,-4.121e-05
17.961,2mer-0+711,-0.00010658831380401289,-7.305e-05
