distance,nmer_name,Uind_md,Udf,Unb,Ues,Uind_sapt,Ues_sapt,time_per_system
1.982,2mer-0+19,-3.889308214537225,4.682951854582849,-28.61427495760451,-20.042014888484438,-13.13505946,-44.18091534,0.022495550828821518
1.997,2mer-0+18,-4.007715341338663,4.813557853469172,-26.33040775208337,-17.509134557275537,-12.64521394,-39.05679682,0.022495550828821518
2.756,2mer-0+1,-0.42539027320411926,0.4342349917845806,-3.0644839037767433,-2.2048586387880436,-0.94870448,-5.8833332,0.022495550828821518
2.778,2mer-0+8,-0.6805392768763555,0.6883714389924049,-3.0597439839288088,-1.6908332680600484,-1.55951472,-4.20724046,0.022495550828821518
2.794,2mer-0+7,-1.1476613728753364,1.2956708560687031,-6.059223029996329,-3.61589080105229,-2.69462965,-9.02368704,0.022495550828821518
2.811,2mer-0+2,-0.15114731339547705,0.14487064130695101,0.7095787398568859,1.005596694559314,-0.78332372,-0.37715288,0.022495550828821518
2.815,2mer-0+5,-0.13385733878041883,0.13752495362909317,-0.984420112616873,-0.713037820207361,-0.91553905,-5.20377014,0.022495550828821518
2.898,2mer-0+4,-0.06339809547486219,0.06131447718759424,-0.5968134838323532,-0.47210091116989683,-0.42640289,-1.61175018,0.022495550828821518
2.975,2mer-0+3,-0.62158961994953,0.6230605425159995,-2.921283518359965,-1.6766333558944357,-1.45201772,-4.942277,0.022495550828821518
3.635,2mer-0+22,-0.36712460178006706,0.3892569018739753,-4.304156206491813,-3.5477747028377706,-0.51244061,-3.57708957,0.022495550828821518
4.052,2mer-0+6,-0.10132356578552576,0.10223544909412327,-1.675285723072567,-1.471726708192918,-0.15366792,-2.18061995,0.022495550828821518
4.072,2mer-0+31,-0.09303450278109808,0.09294581789742386,-0.9131722674303553,-0.7271919467518333,-0.12102502,-1.23047912,0.022495550828821518
4.253,2mer-0+14,-0.05097500928623679,0.05007893154859803,0.8732489039710241,0.9743028448058589,-0.07052554,1.25888544,0.022495550828821518
4.99,2mer-0+13,-0.041419398976919604,0.04251115470398969,-1.48671275727483,-1.4027822035939206,-0.06421786,-1.99912125,0.022495550828821518
4.991,2mer-0+11,-0.02252039410551281,0.02257553191090048,0.0817239652758346,0.12681989129224788,-0.02894457,0.0943616,0.022495550828821518
5.012,2mer-0+16,-0.0433543807592885,0.044183395270608807,-0.9923596149375646,-0.9048218389076673,-0.05925739,-1.1575333,0.022495550828821518
5.034,2mer-0+29,-0.028826691509931293,0.02824942439306084,1.1521703929109506,1.2092465088139428,-0.03995259,1.55781722,0.022495550828821518
5.47,2mer-0+21,-0.008032660731884784,0.007999361890864573,0.110866193044137,0.12689821566688636,-0.01056033,0.16703256,0.022495550828821518
5.617,2mer-0+9,-0.01638913469447696,0.016430642695071742,0.035373475804198695,0.0681932531937474,-0.01985393,0.22179757,0.022495550828821518
5.641,2mer-0+51,-0.008588887123724286,0.008518522100164235,-0.0376163456322213,-0.02050893640833278,-0.00719016,-0.13111623,0.022495550828821518
5.667,2mer-0+27,-0.026904638566375483,0.027221707193677124,-0.38121748859096216,-0.32709114283090956,-0.03194285,-0.25026036,0.022495550828821518
5.867,2mer-0+12,-0.0037629603010626168,0.0037009391136637857,0.11823448235229343,0.12569838176701983,-0.00467927,0.21097945,0.022495550828821518
5.923,2mer-0+15,-0.0016897777751403806,0.0016887161119198111,-0.0640631100897074,-0.060684616202647215,-0.00185443,-0.09561155,0.022495550828821518
6.046,2mer-0+54,-0.02301043748623169,0.022826010122592548,1.0212328088045066,1.0670692564133308,-0.03184416,1.15496864,0.022495550828821518
6.207,2mer-0+33,-0.005829332442298237,0.005793561743583325,0.1800945626678655,0.19171745685374705,-0.00665672,0.19969303,0.022495550828821518
6.278,2mer-0+52,-0.01763554097024527,0.01793400650094965,-0.7771671360492111,-0.7415975885780162,-0.0219316,-0.88878178,0.022495550828821518
6.308,2mer-0+30,-0.006355785347617687,0.00638903385536556,-0.2137195836958085,-0.20097476449282525,-0.00802503,-0.28144656,0.022495550828821518
6.571,2mer-0+69,-0.0098794331809007,0.00994322956497791,-0.30544115576316194,-0.2856184930172833,-0.01296109,-0.3981131,0.022495550828821518
6.847,2mer-0+28,-0.0038846889978277352,0.0038694508389126307,0.24245403349818676,0.2502081733349271,-0.00460386,0.30543354,0.022495550828821518
6.974,2mer-0+32,-0.010882587123333608,0.010927162852216286,-0.22280988098746504,-0.20100013101191513,-0.0131472,-0.23941416,0.022495550828821518
7.033,2mer-0+25,-0.005335496851309155,0.005302792604663373,0.32279038176369573,0.33342867121966824,-0.0064089,0.38392008,0.022495550828821518
7.076,2mer-0+61,-0.005210948389354769,0.005222060199183907,-0.48416280775635656,-0.4737297991678179,-0.006394,-0.62248106,0.022495550828821518
7.157,2mer-0+72,-0.00857113150147049,0.008677402926866832,-0.5291095115417443,-0.5118609771134071,-0.01038943,-0.60601394,0.022495550828821518
7.229,2mer-0+20,-0.0020011318078871736,0.0019948725788254446,-0.032874057411047305,-0.028878053024334684,-0.0020319,-0.03990247,0.022495550828821518
7.336,2mer-0+41,-0.0009441653339952459,0.0009500755951308126,-0.10069821791617427,-0.09880397698704821,-0.00069176,-0.10812054,0.022495550828821518
7.348,2mer-0+80,-0.004289038698011843,0.004313799298971772,-0.003803226229207823,0.004799611767775792,-0.00394594,0.06551622,0.022495550828821518
7.409,2mer-0+26,-0.005106542508139565,0.00510567791345361,0.015078595390548042,0.025290815812141217,-0.00635461,0.10518073,0.022495550828821518
7.439,2mer-0+23,-0.00186834577752554,0.0018678063463007579,0.018971574962446454,0.022707727086272753,-0.00185011,0.00223773,0.022495550828821518
7.45,2mer-0+74,-0.010764544955039618,0.010671975397918193,0.32496256611445956,0.34639908646741735,-0.01491949,0.46915675,0.022495550828821518
7.513,2mer-0+39,-0.007840149792609125,0.00779001075108882,0.19516540721224376,0.21079556775594172,-0.0100731,0.23571246,0.022495550828821518
7.84,2mer-0+63,-0.0049645724466432116,0.0049233871211804316,0.25926447611408854,0.26915243568191216,-0.0053229,0.29828492,0.022495550828821518
7.909,2mer-0+53,-0.003234171746778857,0.00325685497464897,-0.1263849636002176,-0.11989393687878977,-0.00336935,-0.1287676,0.022495550828821518
7.927,2mer-0+43,-0.0020757817676441176,0.002084543154201862,-0.046186357340085235,-0.042026032418239254,-0.00211743,-0.02577262,0.022495550828821518
