distance,nmer_name,Uind_md,Udf,Unb,Ues,Uind_sapt,Ues_sapt,time_per_system
1.651,2mer-0+5,-15.165868542393465,22.908262196528305,-80.61796220326522,-42.543831464343356,-35.67000768,-78.70892618,0.02582380953867724
2.646,2mer-0+2,-0.1725580976254865,0.17138034306086763,-0.16684340286627092,0.17709503782007546,-0.63868955,-1.0971957,0.02582380953867724
2.707,2mer-0+1,-0.15337431515560446,0.16877157961132883,-1.683319540174052,-1.361173645407138,-0.51894871,-2.7959986,0.02582380953867724
2.709,2mer-0+3,-0.36216323449515403,0.36079314983312366,0.7475898085030335,1.4705461928313381,-0.76217183,0.14871942,0.02582380953867724
3.03,2mer-0+4,-0.12773574737262727,0.12446763815567828,0.7317367667205176,0.9839401522488308,-0.19600382,1.06615274,0.02582380953867724
3.215,2mer-0+10,-1.02968511142327,1.0674572401162463,-5.709282026932926,-3.612139675393418,-1.34492745,-6.08262094,0.02582380953867724
3.249,2mer-0+7,-0.05386728463202913,0.053207460458328165,0.09734961199380138,0.20442435708417026,-0.10759638,0.45596097,0.02582380953867724
4.131,2mer-0+8,-0.15833383066586135,0.16127462114941743,-1.422838581233343,-1.1032301294181184,-0.17814755,-1.28343155,0.02582380953867724
4.479,2mer-0+21,-0.07441079594203667,0.07587314062960956,-1.6971080930591593,-1.5468241564875362,-0.1001578,-1.85966668,0.02582380953867724
4.738,2mer-0+23,-0.011467358552986428,0.011366066231915025,-0.032815324998696015,-0.009981900213827343,-0.01544233,0.00849119,0.02582380953867724
4.991,2mer-0+18,-0.04585082984633416,0.04684424383843394,-1.4775522945358426,-1.384857220851086,-0.04853736,-1.67213076,0.02582380953867724
5.564,2mer-0+19,-0.012199000428504332,0.012044050382752868,0.7493212791797569,0.7735643299909948,-0.01593848,0.94321958,0.02582380953867724
5.731,2mer-0+32,-0.01328221600497098,0.01335974478510906,-0.1223612806371368,-0.0957193198470799,-0.01776878,-0.18413991,0.02582380953867724
5.741,2mer-0+34,-0.0067272392800375325,0.006777764503101292,-0.35331049735747444,-0.3398054935743125,-0.00819045,-0.41225557,0.02582380953867724
5.768,2mer-0+11,-0.0026530163516671227,0.002615885369009686,0.037637482052275066,0.042906383772955727,-0.00302643,0.03634688,0.02582380953867724
5.998,2mer-0+15,-0.011727650375686401,0.011793453385757947,-0.2040359149561968,-0.18051481119475632,-0.01461104,-0.22174513,0.02582380953867724
6.085,2mer-0+26,-0.020626131682874107,0.020792436615027908,-0.7030467432731291,-0.6616281749752001,-0.02479784,-0.87346375,0.02582380953867724
6.338,2mer-0+33,-0.00376572571397587,0.003747511992395252,0.15634627451601352,0.16385951222241163,-0.00442899,0.16878681,0.02582380953867724
6.438,2mer-0+24,-0.0032634142771235893,0.003222195954974588,0.17697667686159296,0.1834622870936796,-0.00360814,0.21981162,0.02582380953867724
6.714,2mer-0+22,-0.005358412168972566,0.005343649098138204,0.22377660284016654,0.23447866410728116,-0.00614444,0.30414017,0.02582380953867724
6.737,2mer-0+28,-0.00264190472517068,0.0026396592686148746,0.01264088518865228,0.017922449182449403,-0.00326878,0.0348513,0.02582380953867724
6.823,2mer-0+53,-0.010134485498462135,0.010234103238908438,-0.32245922223934753,-0.3020906335019731,-0.01121417,-0.38119079,0.02582380953867724
6.84,2mer-0+25,-0.002647311410810013,0.002621246105920459,0.07194403855492071,0.07721259607165118,-0.00297161,0.08034032,0.02582380953867724
6.898,2mer-0+20,-0.012303335739691916,0.012350289710295847,-0.21372003950421184,-0.1890664140542588,-0.01142051,-0.19401055,0.02582380953867724
6.951,2mer-0+48,-0.004387832996086423,0.004413913898428081,-0.32499364281399423,-0.3161918959194759,-0.00517834,-0.3843887,0.02582380953867724
7.146,2mer-0+47,-0.0023500757078925992,0.0023634360744140895,-0.2357807549320117,-0.23106724314973587,-0.00283451,-0.27740959,0.02582380953867724
7.26,2mer-0+76,-0.01703197553761174,0.016804189686695125,1.0093419091914164,1.0431780744157348,-0.01819476,1.24789677,0.02582380953867724
7.288,2mer-0+35,-0.006003932277883931,0.006026667134642558,-0.12884807404775928,-0.11681747463524436,-0.00636128,-0.12057342,0.02582380953867724
7.518,2mer-0+68,-0.005099573678746337,0.005124220480331451,-0.16984850447817226,-0.15962471031908676,-0.00609196,-0.19824996,0.02582380953867724
