distance,nmer_name,Uind_md,Udf,Unb,Ues,Uind_sapt,Ues_sapt,time_per_system
2.024,2mer-0+5,-5.717264903527064,6.835041376440963,-33.951666207699546,-21.399359927731492,-8.35117493,-38.68140341,0.015087364656239869
2.06,2mer-0+3,-19.07580299483068,25.206327772854085,-106.24305623047887,-61.960925462794165,-19.31478247,-77.14253326,0.015087364656239869
2.634,2mer-0+16,-1.382403609791234,1.4792005885866448,-20.275871289778397,-17.414267091400525,-4.20639041,-27.40313034,0.015087364656239869
2.714,2mer-0+4,-0.7356296872432786,0.688909285976233,2.0097829936409206,3.434321966860409,-0.7452011,3.06139092,0.015087364656239869
3.049,2mer-0+7,-0.5251522035981822,0.49300249012264424,4.230662093374247,5.248816787095073,-0.48873542,5.70873332,0.015087364656239869
3.103,2mer-0+14,-0.20806015752795112,0.2141326862332001,-6.398349454570692,-5.976156610809537,-0.31529863,-7.40256599,0.015087364656239869
3.105,2mer-0+2,-1.794481804324884,1.6785988032628438,8.713022036155392,12.186102643743128,-1.94265142,8.74866813,0.015087364656239869
3.272,2mer-0+1,-2.8853002723482244,3.2686487155835002,-20.469481415409682,-14.31553242747798,-1.93524178,-13.22578445,0.015087364656239869
3.363,2mer-0+19,-1.483421220059112,1.5479483755167907,-9.009216765597314,-5.977847170021398,-1.0171938,-5.09948732,0.015087364656239869
4.353,2mer-0+10,-0.06616384715273206,0.0650477875599262,3.207585670957678,3.338797305670331,-0.0660252,3.96686918,0.015087364656239869
4.624,2mer-0+11,-0.13208740273560376,0.13462297156021985,-1.0767764578282386,-0.8100660835324149,-0.12704044,-0.67255465,0.015087364656239869
4.85,2mer-0+37,-0.21923750933727848,0.21919381619184067,-3.4282007955380536,-2.9897694700089343,-0.21996744,-3.64356913,0.015087364656239869
4.875,2mer-0+27,-0.2791377327076235,0.28659676807281337,-7.409363799931243,-6.843629299150802,-0.18782778,-5.89402001,0.015087364656239869
4.892,2mer-0+13,-0.2351739908849505,0.22756699878073994,3.659349929660269,4.122090919325966,-0.2104886,4.78645543,0.015087364656239869
5.147,2mer-0+30,-0.0736949646574224,0.07188861933782276,2.6524047192507534,2.7979883032459982,-0.05633351,3.53229223,0.015087364656239869
5.341,2mer-0+26,-0.13968980909970843,0.1363755697279795,2.036648593190517,2.3127139720182126,-0.12829079,2.68942214,0.015087364656239869
5.423,2mer-0+9,-0.04606456831776821,0.04567367972336864,1.9091585803823996,2.00089682842355,-0.03783228,2.50038996,0.015087364656239869
5.489,2mer-0+17,-0.07240410576963133,0.0730025290749598,-1.3754210994435274,-1.2300144645989362,-0.05377211,-1.82455707,0.015087364656239869
5.576,2mer-0+40,-0.06371158964627448,0.06221580670361161,2.012317660300993,2.1382450566508635,-0.04231353,2.20229527,0.015087364656239869
5.703,2mer-0+21,-0.06484279824168196,0.06527081884461335,-0.3054277696404995,-0.17531415255420033,-0.0415412,-0.10092353,0.015087364656239869
5.762,2mer-0+29,-0.03347306366522434,0.03324482311788778,-0.07100916829443331,-0.004291281511325047,-0.02616356,-0.41252926,0.015087364656239869
5.87,2mer-0+35,-0.020425378697909287,0.020214233641996666,1.9425966408252084,1.983236253165124,-0.01813547,2.19737683,0.015087364656239869
6.119,2mer-0+32,-0.017544945054234623,0.017699237603222083,-1.6802933521443841,-1.6450491694869311,-0.01735822,-1.92441523,0.015087364656239869
6.266,2mer-0+12,-0.07291914819097456,0.0744702986058155,-2.9640057667561472,-2.8166163199593535,-0.0531891,-3.17471956,0.015087364656239869
6.31,2mer-0+46,-0.0529061454320872,0.05365917293654682,-2.4826751410983094,-2.3761098227296755,-0.04157511,-2.82639989,0.015087364656239869
6.438,2mer-0+24,-0.044430007638886854,0.043984416503134574,1.955416110938781,2.043830535080818,-0.03453829,2.03668282,0.015087364656239869
6.45,2mer-0+22,-0.03178968470239764,0.03179312957467429,0.4271698982772331,0.4907527125543185,-0.02014162,0.55400655,0.015087364656239869
6.498,2mer-0+58,-0.053210879498454974,0.05331705042523396,0.22190582342522713,0.3284337533489238,-0.03583405,0.67763612,0.015087364656239869
6.67,2mer-0+39,-0.02723154268002857,0.027374146100827813,-0.21024687373125497,-0.15564118495042367,-0.01785419,-0.08233552,0.015087364656239869
6.731,2mer-0+23,-0.047305167940117514,0.04691098681433942,0.4320701483560028,0.526286303110454,-0.03533757,0.74914953,0.015087364656239869
6.858,2mer-0+63,-0.035993815749077264,0.036423530168560106,-2.322546299493617,-2.2501289535759605,-0.03068251,-2.81357513,0.015087364656239869
6.878,2mer-0+71,-0.018292296971468225,0.018121676334988915,0.5999506071168604,0.6363645804233176,-0.01859567,1.02469646,0.015087364656239869
6.885,2mer-0+67,-0.013017333431513994,0.013058446347897195,0.11689972697978324,0.1429755067591944,-0.01421986,0.10855976,0.015087364656239869
6.919,2mer-0+47,-0.020227478234208025,0.019980044229495904,1.3678305198655172,1.4080380423292076,-0.01612128,1.73268214,0.015087364656239869
6.972,2mer-0+80,-0.016755240431056345,0.01677991271628785,0.2294690823009737,0.2630042354483237,-0.01655975,0.14060994,0.015087364656239869
7.204,2mer-0+68,-0.014887668230867103,0.014749331147567227,0.8920193723493834,0.9216563717278217,-0.01716557,1.55524972,0.015087364656239869
7.358,2mer-0+57,-0.01991411139682883,0.019818904310459174,-0.1123587535697818,-0.07262573786250538,-0.01728524,-0.11432931,0.015087364656239869
7.499,2mer-0+38,-0.00965390241197211,0.009700542798747665,-0.994217414517978,-0.9748629693072544,-0.00639007,-1.18538435,0.015087364656239869
7.654,2mer-0+52,-0.018118313814751163,0.01826531704669051,-0.7693702859960893,-0.7329866551346457,-0.01289847,-0.73659198,0.015087364656239869
7.679,2mer-0+45,-0.010019850624474391,0.010016573144119916,0.4209794758709088,0.44101589963949916,-0.00914403,0.61290606,0.015087364656239869
7.703,2mer-0+93,-0.020372881375529124,0.02035105368737152,-0.7528100403671217,-0.7120861053042249,-0.01550731,-0.72830457,0.015087364656239869
7.711,2mer-0+55,-0.008342879933143161,0.008389421206029429,-1.081279531046936,-1.06454722990775,-0.00563375,-1.20333804,0.015087364656239869
7.794,2mer-0+77,-0.013755282119021528,0.013634187314664675,0.37134905895767484,0.39873852839134755,-0.00814828,0.15681941,0.015087364656239869
