distance,nmer_name,Uind_md,Udf,Unb,Ues,Uind_sapt,Ues_sapt,time_per_system
2.024,2mer-0+5,-6.078598314927865,7.674963580882793,-36.53359640565458,-22.78003450984388,-8.35117493,-38.68140341,0.016239951496664812
2.06,2mer-0+3,-12.593705951793961,16.357842495385604,-70.39005793630803,-41.4385094891285,-19.31478247,-77.14253326,0.016239951496664812
2.634,2mer-0+16,-0.7391461577126166,0.7600306726476749,-7.000581677712944,-5.501404847352685,-4.20639041,-27.40313034,0.016239951496664812
2.714,2mer-0+4,-0.6595201200063103,0.6301482820973998,0.30016937894589046,1.5898377810495774,-0.7452011,3.06139092,0.016239951496664812
3.049,2mer-0+7,-0.3775941118242968,0.36285921838717655,1.7222054321214928,2.4626587623329312,-0.48873542,5.70873332,0.016239951496664812
3.103,2mer-0+14,-0.1349115015142945,0.13832453467302325,-4.188766250020436,-3.915530213833157,-0.31529863,-7.40256599,0.016239951496664812
3.105,2mer-0+2,-1.3922342854504541,1.280397519109776,7.39678350624042,10.06941531080059,-1.94265142,8.74866813,0.016239951496664812
3.272,2mer-0+1,-2.0274583474338277,2.3075730939943027,-15.36034520793049,-11.025313766502329,-1.93524178,-13.22578445,0.016239951496664812
3.363,2mer-0+19,-1.190486822207733,1.2605728824973483,-8.086779145552057,-5.6357194408469935,-1.0171938,-5.09948732,0.016239951496664812
4.353,2mer-0+10,-0.04707949431485338,0.04656961823244994,1.9432132461893337,2.0368623587366255,-0.0660252,3.96686918,0.016239951496664812
4.624,2mer-0+11,-0.11943098231507783,0.1219350462112921,-0.9422888271666312,-0.7009227986402342,-0.12704044,-0.67255465,0.016239951496664812
4.85,2mer-0+37,-0.1649450116722884,0.16501093148524199,-2.5193613681229716,-2.189405424965426,-0.21996744,-3.64356913,0.016239951496664812
4.875,2mer-0+27,-0.20609645252628478,0.21176779256939554,-5.495906412022691,-5.078042166926996,-0.18782778,-5.89402001,0.016239951496664812
