molecule,static_model,drude_model,energy_type,distance_range,mae,rmse,r2,max_error,n_points
imidazole,ESP,2013JPC,induction,all,0.09049774100248727,1.3095663959758679,,24.654880506557994,360
imidazole,ESP,2013JPC,induction,short,2.4848488906782786,6.8913740419224405,,24.654880506557994,13
imidazole,ESP,2013JPC,induction,medium,0.004729842629519114,0.00833461093365301,,0.03256475480112739,52
imidazole,ESP,2013JPC,induction,long,0.0001023707299756292,0.0001816739398642136,,0.0008884444930542944,295
imidazole,ESP,2013JPC,electrostatics,all,0.20900951565912204,2.212959316025717,,40.56733922929727,360
imidazole,ESP,2013JPC,electrostatics,short,5.065786374014653,11.641704695935955,,40.56733922929727,13
imidazole,ESP,2013JPC,electrostatics,medium,0.09346926803343308,0.1372328199194093,,0.5427544425546813,52
imidazole,ESP,2013JPC,electrostatics,long,0.01534847741476252,0.020827083558691596,,0.0903372110362155,295
imidazole,RESP,2013JPC,induction,all,0.08496670640815107,1.22483268420925,,23.033620970692688,360
imidazole,RESP,2013JPC,induction,short,2.3356343364971024,6.445475096148259,,23.033620970692688,13
imidazole,RESP,2013JPC,induction,medium,0.003943638200630535,0.008195374448217727,,0.0360269043161181,52
imidazole,RESP,2013JPC,induction,long,6.677541030261257e-05,0.00013300040417984108,,0.0009966123748820525,295
imidazole,RESP,2013JPC,electrostatics,all,0.2328015129804808,2.2191443665489463,,39.516704776615654,360
imidazole,RESP,2013JPC,electrostatics,short,5.67113856770151,11.67004915610378,,39.516704776615654,13
imidazole,RESP,2013JPC,electrostatics,medium,0.12432789608624803,0.2093901468806311,,0.9078802989647885,52
imidazole,RESP,2013JPC,electrostatics,long,0.012266754902944203,0.018965081808055242,,0.1040621031217992,295
imidazole,MPFIT,2013JPC,induction,all,0.08816986792392013,1.2797567323690884,,24.092395721559665,360
imidazole,MPFIT,2013JPC,induction,short,2.426007428457309,6.734513366785313,,24.092395721559665,13
imidazole,MPFIT,2013JPC,induction,medium,0.003527581780115446,0.0063668617151236935,,0.0247698134905322,52
imidazole,MPFIT,2013JPC,induction,long,6.651400033975852e-05,0.00011930946168490815,,0.0006457197288280763,295
imidazole,MPFIT,2013JPC,electrostatics,all,0.19724288308241741,2.0905594722838488,,38.13844843000646,360
imidazole,MPFIT,2013JPC,electrostatics,short,4.981069475544995,10.998479215254397,,38.13844843000646,13
imidazole,MPFIT,2013JPC,electrostatics,medium,0.07439367666547335,0.11975625460061028,,0.5126614265164426,52
imidazole,MPFIT,2013JPC,electrostatics,long,0.008084961155866818,0.01264372293549095,,0.07023261840819613,295
formamide,ESP,2013JPC,induction,all,0.018912953225101305,0.2051961785965752,,3.0457059404071805,494
formamide,ESP,2013JPC,induction,short,0.6460450605870927,1.2188097494052428,,3.0457059404071805,14
formamide,ESP,2013JPC,induction,medium,0.0037215675453878016,0.00682887605531599,,0.028866650633714297,67
formamide,ESP,2013JPC,induction,long,0.0001186998049388982,0.0002070424340265369,,0.0014250775587866804,413
formamide,ESP,2013JPC,electrostatics,all,0.17180258964193176,1.3712942731978337,,23.793017057974055,494
formamide,ESP,2013JPC,electrostatics,short,4.29072001330174,8.12884577339479,,23.793017057974055,14
formamide,ESP,2013JPC,electrostatics,medium,0.16975649301450849,0.21636691650357207,,0.5499180844577438,67
formamide,ESP,2013JPC,electrostatics,long,0.03251020354701662,0.04148725385762521,,0.16856142116816275,413
formamide,RESP,2013JPC,induction,all,0.015987107115606594,0.18073642332439113,,2.823986800208766,494
formamide,RESP,2013JPC,induction,short,0.5383192416360043,1.0734895977224628,,2.823986800208766,14
formamide,RESP,2013JPC,induction,medium,0.004454600952844954,0.007212672431099042,,0.02330159824168196,67
formamide,RESP,2013JPC,induction,long,0.00015182389434621692,0.000265364532588579,,0.0017125422822460374,413
formamide,RESP,2013JPC,electrostatics,all,0.15968929150627806,1.1489903352421151,,17.28204348226851,494
formamide,RESP,2013JPC,electrostatics,short,3.796476471139293,6.799537138245936,,17.28204348226851,14
formamide,RESP,2013JPC,electrostatics,medium,0.18445818972124647,0.2474866791749736,,0.7343039267540017,67
formamide,RESP,2013JPC,electrostatics,long,0.03239017117875968,0.043811211730979745,,0.20347135588206233,413
formamide,MPFIT,2013JPC,induction,all,0.02839305868258597,0.3564341928510546,,6.72107651820604,494
formamide,MPFIT,2013JPC,induction,short,0.9847119262489235,2.117238614466231,,6.72107651820604,14
formamide,MPFIT,2013JPC,induction,medium,0.0030815551078101867,0.006221476685002959,,0.026719081905491507,67
formamide,MPFIT,2013JPC,induction,long,8.169450239529727e-05,0.00016059620417440635,,0.0014634153272644057,413
formamide,MPFIT,2013JPC,electrostatics,all,0.27742624963173457,2.042679586053221,,35.704023770871494,494
formamide,MPFIT,2013JPC,electrostatics,short,6.542850296402119,12.095233267637255,,35.704023770871494,14
formamide,MPFIT,2013JPC,electrostatics,medium,0.3081470528752949,0.39551966164488106,,1.0625544450429278,67
formamide,MPFIT,2013JPC,electrostatics,long,0.060055231539473265,0.07977204702104854,,0.3610459447135483,413
acetic_acid,ESP,2013JPC,induction,all,0.07093324039648193,1.1579670413728882,,20.504139137606533,314
acetic_acid,ESP,2013JPC,induction,short,2.0204832101722854,6.1867795661897915,,20.504139137606533,11
acetic_acid,ESP,2013JPC,induction,medium,0.000764176826438581,0.0013042707431916913,,0.004486563995029022,42
acetic_acid,ESP,2013JPC,induction,long,5.987258961592224e-05,6.730886484156012e-05,,0.00021600673785206908,261
acetic_acid,ESP,2013JPC,electrostatics,all,0.1517449751045747,2.0502801443253915,,36.16509471565665,314
acetic_acid,ESP,2013JPC,electrostatics,short,3.9817325654210536,10.95333224074862,,36.16509471565665,11
acetic_acid,ESP,2013JPC,electrostatics,medium,0.04557040146203876,0.06696591562402156,,0.21183557502479988,42
acetic_acid,ESP,2013JPC,electrostatics,long,0.007413437171644552,0.010166673659986622,,0.04062041525656121,261
acetic_acid,RESP,2013JPC,induction,all,0.04281075383368486,0.4229731328756747,,7.164495302061454,314
acetic_acid,RESP,2013JPC,induction,short,1.124747685478974,2.2591454844955523,,7.164495302061454,11
acetic_acid,RESP,2013JPC,induction,medium,0.02104965766944086,0.02888759186495182,,0.07954284040872488,42
acetic_acid,RESP,2013JPC,induction,long,0.0007136649095471829,0.0012362818489225179,,0.005829631581694481,261
acetic_acid,RESP,2013JPC,electrostatics,all,0.584632908178273,1.6372421262632684,,18.806419969123958,314
acetic_acid,RESP,2013JPC,electrostatics,short,6.223655484277848,8.009651171424524,,18.806419969123958,11
acetic_acid,RESP,2013JPC,electrostatics,medium,1.2514803322859618,1.6054778884662129,,3.8148255718362503,42
acetic_acid,RESP,2013JPC,electrostatics,long,0.23966417197283915,0.32600730806328965,,1.24887911802352,261
acetic_acid,MPFIT,2013JPC,induction,all,0.08710968210093335,1.3958212687684557,,24.7091039674102,314
acetic_acid,MPFIT,2013JPC,induction,short,2.474417090256306,7.457582718797932,,24.7091039674102,11
acetic_acid,MPFIT,2013JPC,induction,medium,0.002463418931351716,0.003766672754204342,,0.012293964066292082,42
acetic_acid,MPFIT,2013JPC,induction,long,0.00011643138604191661,0.00015819045834614316,,0.0007873226832702947,261
acetic_acid,MPFIT,2013JPC,electrostatics,all,0.22537132395100115,2.750904048384075,,48.523438748211824,314
acetic_acid,MPFIT,2013JPC,electrostatics,short,5.349927784846537,14.692008276924268,,48.523438748211824,11
acetic_acid,MPFIT,2013JPC,electrostatics,medium,0.1366008193357262,0.18927749948158043,,0.6193598617302698,42
acetic_acid,MPFIT,2013JPC,electrostatics,long,0.023678757376252697,0.03249981286407444,,0.1405381113086423,261
pyrazole,ESP,2013JPC,induction,all,0.056128268813829346,0.6238176447815995,,9.245751245462776,425
