N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+245,0.03632232,1,0.01816116,-77.45644230,4.388043e-05,17.3590,15.0030,15.003
2mer-0+280,0.01510562,1,0.00755281,-77.44888949,4.373378e-05,17.9250,15.0200,15.020
2mer-0+239,-0.01837780,1,-0.00918890,-77.45807839,4.301192e-05,17.9150,15.1030,15.103
2mer-0+374,-0.10058629,1,-0.05029314,-77.50837154,4.276085e-05,16.9540,15.1330,15.133
2mer-0+209,-0.00732830,2,-0.00732830,-77.51569984,4.204835e-05,17.7250,15.2180,15.218
2mer-0+251,0.01272219,2,0.01272219,-77.50297765,4.130949e-05,17.5260,15.3080,15.308
2mer-0+274,-0.08265056,2,-0.08265056,-77.58562821,4.101086e-05,16.5010,15.3450,15.345
2mer-0+333,0.04414053,2,0.04414053,-77.54148768,4.087768e-05,18.0510,15.3620,15.362
2mer-0+208,-0.05007498,1,-0.02503749,-77.56652517,4.079479e-05,17.1160,15.3720,15.372
2mer-0+228,-0.01950337,1,-0.00975168,-77.57627685,4.066317e-05,18.8340,15.3890,15.389
2mer-0+434,-0.00277341,1,-0.00138671,-77.57766356,4.061312e-05,17.5430,15.3950,15.395
2mer-0+236,-0.02771265,1,-0.01385632,-77.59151988,4.058720e-05,18.9200,15.3980,15.398
2mer-0+199,0.02706560,1,0.01353280,-77.57798708,4.056934e-05,18.7720,15.4010,15.401
2mer-0+204,-0.03013585,1,-0.01506792,-77.59305501,4.044925e-05,18.8580,15.4160,15.416
2mer-0+425,0.04812586,1,0.02406293,-77.56899208,4.022779e-05,18.1340,15.4440,15.444
2mer-0+324,-0.08070336,1,-0.04035168,-77.60934376,4.007871e-05,17.9180,15.4630,15.463
2mer-0+240,0.07019476,2,0.07019476,-77.53914900,3.986861e-05,16.4740,15.4900,15.490
2mer-0+356,0.03463407,1,0.01731704,-77.52183196,3.947555e-05,17.3180,15.5410,15.541
2mer-0+200,0.02925760,2,0.02925760,-77.49257436,3.913860e-05,19.2120,15.5860,15.586
2mer-0+282,0.06602989,2,0.06602989,-77.42654447,3.896820e-05,17.9390,15.6090,15.609
2mer-0+312,0.05398158,2,0.05398158,-77.37256289,3.896320e-05,18.0510,15.6090,15.609
2mer-0+235,0.01404110,1,0.00702055,-77.36554234,3.889325e-05,18.9490,15.6190,15.619
2mer-0+322,-0.09127997,1,-0.04563999,-77.41118233,3.809893e-05,18.1080,15.7260,15.726
2mer-0+452,0.11985449,1,0.05992724,-77.35125508,3.781294e-05,17.8580,15.7660,15.766
2mer-0+223,0.01631616,1,0.00815808,-77.34309700,3.778318e-05,17.4940,15.7700,15.770
2mer-0+290,-0.00747685,2,-0.00747685,-77.35057385,3.753787e-05,19.0690,15.8040,15.804
2mer-0+250,0.00246266,2,0.00246266,-77.34811119,3.724070e-05,19.5290,15.8460,15.846
2mer-0+302,-0.05924466,1,-0.02962233,-77.37773352,3.712483e-05,18.1520,15.8630,15.863
2mer-0+337,0.02621237,1,0.01310618,-77.36462734,3.699684e-05,17.3370,15.8810,15.881
2mer-0+316,-0.04134938,1,-0.02067469,-77.38530203,3.697809e-05,18.7510,15.8840,15.884
2mer-0+315,0.08957261,1,0.04478630,-77.34051572,3.697711e-05,17.1520,15.8840,15.884
2mer-0+247,-0.00649500,1,-0.00324750,-77.34376322,3.693359e-05,18.7900,15.8900,15.890
2mer-0+286,0.00942351,1,0.00471175,-77.33905147,3.678990e-05,17.0770,15.9110,15.911
2mer-0+471,-0.04856050,1,-0.02428025,-77.36333172,3.633981e-05,19.1010,15.9760,15.976
2mer-0+413,0.00542345,1,0.00271172,-77.36061999,3.600067e-05,18.9750,16.0260,16.026
2mer-0+299,0.06705806,1,0.03352903,-77.32709096,3.580944e-05,18.9990,16.0550,16.055
2mer-0+229,0.03874573,1,0.01937286,-77.30771810,3.563157e-05,19.5190,16.0810,16.081
2mer-0+298,0.05737461,1,0.02868730,-77.27903079,3.548382e-05,19.9330,16.1040,16.104
2mer-0+466,0.09487977,1,0.04743989,-77.23159091,3.514281e-05,18.0550,16.1560,16.156
2mer-0+244,-0.02086626,1,-0.01043313,-77.24202404,3.500706e-05,19.6440,16.1760,16.176
2mer-0+475,-0.01779455,1,-0.00889727,-77.25092131,3.498916e-05,19.1430,16.1790,16.179
2mer-0+472,0.00403863,1,0.00201931,-77.24890200,3.498424e-05,19.4500,16.1800,16.180
2mer-0+267,0.00624271,1,0.00312136,-77.24578064,3.469871e-05,19.1710,16.2240,16.224
2mer-0+296,-0.00495805,1,-0.00247903,-77.24825967,3.453584e-05,19.2140,16.2500,16.250
2mer-0+222,-0.04314277,2,-0.04314277,-77.29140244,3.446151e-05,17.8780,16.2610,16.261
2mer-0+501,-0.06640178,1,-0.03320089,-77.32460333,3.440443e-05,18.7620,16.2700,16.270
2mer-0+224,-0.00638993,2,-0.00638993,-77.33099326,3.399775e-05,19.2120,16.3350,16.335
2mer-0+279,0.00584033,1,0.00292017,-77.32807309,3.397531e-05,18.1900,16.3390,16.339
2mer-0+368,0.04301260,2,0.04301260,-77.28506049,3.381290e-05,18.7220,16.3650,16.365
2mer-0+231,-0.03484241,1,-0.01742120,-77.30248170,3.354753e-05,18.8810,16.4080,16.408
2mer-0+399,-0.06015660,1,-0.03007830,-77.33256000,3.353506e-05,18.7860,16.4100,16.410
2mer-0+376,0.02503612,1,0.01251806,-77.32004194,3.345706e-05,19.2320,16.4220,16.422
2mer-0+420,0.04969266,1,0.02484633,-77.29519561,3.335865e-05,18.9640,16.4390,16.439
2mer-0+261,0.04640898,2,0.04640898,-77.24878663,3.307109e-05,19.1100,16.4860,16.486
2mer-0+459,0.01963452,1,0.00981726,-77.23896937,3.301765e-05,20.1880,16.4950,16.495
2mer-0+371,-0.00406988,2,-0.00406988,-77.24303925,3.289501e-05,20.2240,16.5150,16.515
2mer-0+306,-0.08923474,2,-0.08923474,-77.33227399,3.286544e-05,20.2240,16.5200,16.520
2mer-0+276,-0.07417421,2,-0.07417421,-77.40644820,3.284429e-05,19.5150,16.5240,16.524
2mer-0+269,-0.01403906,1,-0.00701953,-77.41346773,3.277702e-05,19.2120,16.5350,16.535
2mer-0+405,-0.04177408,1,-0.02088704,-77.43435477,3.246546e-05,18.8960,16.5880,16.588
2mer-0+489,0.07299828,1,0.03649914,-77.39785563,3.242371e-05,18.8480,16.5950,16.595
2mer-0+332,-0.03685152,2,-0.03685152,-77.43470715,3.236606e-05,19.5150,16.6050,16.605
2mer-0+317,0.04828123,2,0.04828123,-77.38642592,3.228104e-05,19.1100,16.6200,16.620
2mer-0+263,0.01155549,1,0.00577774,-77.38064817,3.200559e-05,20.8850,16.6670,16.667
2mer-0+284,-0.01490634,1,-0.00745317,-77.38810134,3.198032e-05,20.3140,16.6710,16.671
2mer-0+327,0.08298199,2,0.08298199,-77.30511935,3.196837e-05,20.7660,16.6740,16.674
2mer-0+321,-0.06210956,2,-0.06210956,-77.36722891,3.183172e-05,19.0690,16.6970,16.697
2mer-0+264,-0.01934539,2,-0.01934539,-77.38657430,3.176676e-05,19.0300,16.7090,16.709
2mer-0+256,-0.04179534,2,-0.04179534,-77.42836964,3.149566e-05,19.7360,16.7570,16.757
2mer-0+433,-0.00004682,1,-0.00002341,-77.42839305,3.143703e-05,19.9740,16.7670,16.767
2mer-0+311,-0.01145426,2,-0.01145426,-77.43984731,3.104955e-05,19.7360,16.8360,16.836
2mer-0+291,0.02693437,1,0.01346718,-77.42638013,3.101834e-05,20.7470,16.8420,16.842
2mer-0+248,0.02880468,1,0.01440234,-77.41197779,3.097151e-05,20.5460,16.8510,16.851
2mer-0+266,0.00807530,1,0.00403765,-77.40794014,3.089414e-05,20.7160,16.8650,16.865
2mer-0+273,-0.04249882,2,-0.04249882,-77.45043896,3.071149e-05,19.3910,16.8980,16.898
2mer-0+517,-0.02739929,1,-0.01369964,-77.46413860,3.053452e-05,19.8640,16.9310,16.931
2mer-0+326,-0.00242128,1,-0.00121064,-77.46534924,3.009500e-05,20.4780,17.0130,17.013
2mer-0+389,-0.01760053,1,-0.00880026,-77.47414951,2.971654e-05,20.6590,17.0840,17.084
2mer-0+359,0.00562861,1,0.00281431,-77.47133520,2.940729e-05,19.9150,17.1440,17.144
2mer-0+283,-0.04324593,2,-0.04324593,-77.51458113,2.931264e-05,20.7270,17.1630,17.163
